"Bill of Material for "
"On 11/07/2017 at 10:44:14 AM"

"Comment","Pattern","Quantity","Components"

"","AXIAL-0.3","3","R14, R21, R54","Resistor"
"","CAPR5-4X5","9","C4, C5, C15, C18, C22, C23, C25, C26, C99","Capacitor"
"9V Battery","BAT-2","1","B1","Multicell Battery"
"Cap Film 5","Cap Film 5","7","C3, C16, C17, C19, C20, C21, C24",""
"Cap2","CAPR5-4X5","2","C13, C14","Capacitor"
"Diode 1N914","DO-35","1","D1","High Conductance Fast Diode"
"Film","Cap Film 5","9","C1, C2, C6, C7, C8, C9, C10, C11, C12",""
"LM324J","J14A","2","U1, U2","Low Power Quad Operational Amplifier, 14-pin CerDIP"
"LM386N-1","N08E","1","U Amp","Low Voltage Audio Power Amplifier, 8-pin MDIP"
"MMBF4391LT1","ONSC-SOT-23-3-318-08_V","4","Q1, Q7, Q8, Q9","JFET Switching Transistor, N-Channel, 3-Pin SOT-23, Tape and Reel"
"MMBT3904TT1G","ONSC-SC-75-3-463-01_V","5","Q2, Q3, Q4, Q5, Q6","General Purpose Transistor, NPN Silicon, 3-Pin SC-75, Pb-Free, Tape and Reel"
"MMBT3906TT1G","ONSC-SC-75-3-463-01_V","1","Q10","General Purpose Transistor, PNP Silicon, 3-Pin SC-75, Pb-Free, Tape and Reel"
"Pad","Pad","27","X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27",""
"R52","AXIAL-0.3","4","R52, R58, R63, R64","Resistor"
"Res1","AXIAL-0.3","47","R2, R5, R6, R7, R8, R9, R10, R11, R12, R15, R17, R18, R19, R24, R25, R26, R27, R30, R31, R32, R33, R34, R35, R36, R37, R39, R40, R41, R42, R44, R45, R46, R47, R48, R50, R55, R56, R57, R59, R60, R61, R62, R65, R67, R68, R69, R70","Resistor"
"Res3","AXIAL-0.3","5","R3, R4, R16, R22, R23","Resistor"
