Field=#~Integer~#~50|Field=Comment~String~Comment~143|Field=Description~String~Description~4638|Field=Designator~String~Designator~1166|Field=Footprint~String~Footprint~138|Field=LibRef~String~LibRef~88|Field=Quantity~Integer~Quantity~67|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~noise_toaster.PrjPcb|ReportField=ProjectFullPath~F:\Google Drive\Electronics\noise toaster\noise_toaster.PrjPcb|ReportField=Title~Bill of Materials For Project [noise_toaster.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~155|ReportField=ReportTime~1:57:54 PM|ReportField=ReportDate~14/07/2017|ReportField=ReportDateTime~14/07/2017 1:57:54 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~14/07/2017|ReportField=CurrentTime~1:25:59 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\Google Drive\Electronics\noise toaster\Top.SchDoc|ReportField=DocumentName~Top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~14/07/2017|ReportField=Organization~|ReportField=ProjectName~noise_toaster.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~noise_toaster.PrjPcb|ReportField=DataSourceFullPath~F:\Google Drive\Electronics\noise toaster\noise_toaster.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|9V Battery|Multicell Battery|B1|BAT-2|Battery|1
2|Film||C1, C2, C6, C7, C8, C9, C10, C11, C12|Cap Film 5|Cap Film 5|9
3|Cap Film 5||C3, C16, C17, C19, C20, C21, C24|Cap Film 5|Cap Film 5|7
4||Capacitor|C4, C5, C15, C18, C22, C23, C25, C26, C99|CAPR5-4X5|Cap2|9
5|Cap2|Capacitor|C13, C14|CAPR5-4X5|Cap2|2
6|Diode 1N914|High Conductance Fast Diode|D1, D2, D3|DO-35|Diode 1N914|3
7|LED0|Typical INFRARED GaAs LED|D5|LED-0|LED0|1
8|Speaker 8ohm 1W|Loudspeaker|LS1|PIN2|Speaker|1
9|S10|Switch|Manual Gate|SPST-2|SW-PB|1
10|LineOut|Stereo Jack|Output|Stereo Jack|Stereo Jack|1
11|MMBF4391LT1|JFET Switching Transistor, N-Channel, 3-Pin SOT-23, Tape and Reel|Q1, Q7, Q8, Q9|ONSC-SOT-23-3-318-08_V|MMBF4391LT1|4
12|MMBT3904TT1G|General Purpose Transistor, NPN Silicon, 3-Pin SC-75, Pb-Free, Tape and Reel|Q2, Q3, Q4, Q5, Q6|ONSC-SC-75-3-463-01_V|MMBT3904TT1G|5
13|MMBT3906TT1G|General Purpose Transistor, PNP Silicon, 3-Pin SC-75, Pb-Free, Tape and Reel|Q10|ONSC-SC-75-3-463-01_V|MMBT3906TT1G|1
14|Potentiometer|My Own|R1, R13, R20, R28, R29, R38, R49, R51, R53|Potentiometer|Potentiometer|9
